facility_id,name,type,lat,lng,address,city,state,postcode,district,license_no,active
FAC-0CCF18D7,Klinik Wanita Ampang,clinic,2.747962,101.977578,"No.7, Jalan Setia 16",Nilai,Negeri Sembilan,71800,Nilai,MOH-210665,True
FAC-3CDFE1CB,Klinik Pakar Titiwangsa,clinic,2.69267,101.905695,"No.79, Jalan Setia 6",Nilai,Negeri Sembilan,71800,Nilai,MOH-869440,True
FAC-E0554B3F,Klinik Pratama Wangsa Maju,clinic,4.560468,101.10428,"No.248, Jalan Jaya 14",Kampar,Perak,31400,Kampar,MOH-965845,True
FAC-D932D6B4,Guardian Pharmacy KLCC,pharmacy,4.557956,101.119486,"No.45, Jalan Sejahtera 15",Teluk Intan,Perak,36000,Teluk Intan,MOH-355709,True
FAC-2C0C96B7,Watson's Pharmacy Pavilion,pharmacy,2.168335,102.224504,"No.15, Jalan Jaya 11",Jasin,Melaka,77000,Jasin,MOH-290672,True
FAC-7CD58BBC,Caring Pharmacy Midvalley,pharmacy,2.211328,102.233284,"No.144, Jalan Indah 9",Melaka,Melaka,75000,Melaka Tengah,MOH-682789,True
FAC-B81A57FB,Alpro Pharmacy Subang,pharmacy,3.162501,101.726291,"No.251, Jalan Murni 8",Kuala Lumpur,Kuala Lumpur,52100,Kepong,MOH-824156,True
FAC-61A87A39,Big Pharmacy Shah Alam,pharmacy,2.154448,102.241507,"No.9, Jalan Baru 10",Jasin,Melaka,77000,Jasin,MOH-332360,True
FAC-B2831513,Farmasi Rakyat Johor Bahru,pharmacy,2.768378,101.923843,"No.243, Jalan Murni 17",Port Dickson,Negeri Sembilan,71000,Port Dickson,MOH-460455,True
FAC-177487A7,Farmasi Generik Butterworth,pharmacy,2.758912,101.916364,"No.157, Jalan Sejahtera 8",Nilai,Negeri Sembilan,71800,Nilai,MOH-226516,True
FAC-DB6FBCD8,Farmasi Suria Ipoh,pharmacy,5.441106,100.35772,"No.95, Jalan Maju 7",Butterworth,Penang,12000,Butterworth,MOH-874483,True
FAC-5FB1305A,Big Pharmacy Seremban,pharmacy,2.136862,102.241606,"No.269, Jalan Indah 10",Alor Gajah,Melaka,78000,Alor Gajah,MOH-205409,True
FAC-0BE5BE94,Guardian Penang Gurney,pharmacy,5.436769,100.332029,"No.8, Jalan Harmoni 18",Butterworth,Penang,12000,Butterworth,MOH-232731,True
FAC-3ECA68E5,Watson's Melaka Dataran,pharmacy,4.591034,101.129786,"No.65, Jalan Wawasan 16",Ipoh,Perak,30000,Ipoh,MOH-207570,True
FAC-8B877AB2,Farmasi Medikal Wangsa Maju,pharmacy,3.145856,101.651687,"No.95, Jalan Utama 9",Kuala Lumpur,Kuala Lumpur,53300,Wangsa Maju,MOH-600935,True
FAC-5E4DE973,Caring Pharmacy Ampang,pharmacy,3.082395,101.506359,"No.28, Jalan Lama 5",Shah Alam,Selangor,40000,Shah Alam,MOH-950544,True
FAC-817F72F8,Alpro Kepong,pharmacy,4.596789,101.10869,"No.214, Jalan Indah 20",Ipoh,Perak,30000,Ipoh,MOH-929151,True
FAC-0A5D8A94,Farmasi Sentosa Kajang,pharmacy,5.44928,100.291158,"No.153, Jalan Indah 14",Perai,Penang,13600,Seberang Perai,MOH-420214,True
FAC-1C4821A3,Farmasi Daya Puchong,pharmacy,3.131032,101.710216,"No.109, Jalan Sejahtera 3",Kuala Lumpur,Kuala Lumpur,50470,Brickfields,MOH-264686,True
FAC-78EEB50C,Big Pharmacy Alor Setar,pharmacy,5.407237,100.308545,"No.210, Jalan Jaya 20",Bayan Lepas,Penang,11900,Bayan Lepas,MOH-592738,True
FAC-28F771B5,Guardian Pharmacy Sungai Petani,pharmacy,4.642642,101.095378,"No.233, Jalan Baru 8",Ipoh,Perak,30000,Ipoh,MOH-377405,True
FAC-70B7C22D,Farmasi Amanah Sepang,pharmacy,5.431022,100.348049,"No.77, Jalan Sejahtera 5",Bukit Mertajam,Penang,14000,Bukit Mertajam,MOH-174878,True
FAC-44382B09,Farmasi Prima Brickfields,pharmacy,3.09879,101.697935,"No.292, Jalan Sejahtera 15",Kuala Lumpur,Kuala Lumpur,59000,Bangsar,MOH-230394,True
FAC-6B4B764D,Farmasi Sihat Bangsar,pharmacy,2.221932,102.238668,"No.140, Jalan Murni 18",Jasin,Melaka,77000,Jasin,MOH-617781,True
FAC-19FADAF6,Watson's Pharmacy Bukit Mertajam,pharmacy,2.160147,102.208491,"No.166, Jalan Indah 9",Melaka,Melaka,75000,Melaka Tengah,MOH-127121,True
FAC-17D3633A,Guardian Pharmacy Teluk Intan,pharmacy,3.062085,101.566313,"No.295, Jalan Indah 1",Klang,Selangor,41000,Klang,MOH-901909,True
FAC-50DE1298,Farmasi Jaya Taiping,pharmacy,4.609257,101.135614,"No.241, Jalan Murni 15",Kampar,Perak,31400,Kampar,MOH-391668,True
FAC-CB38177C,Farmasi Mulia Muar,pharmacy,1.511822,103.696529,"No.47, Jalan Jaya 12",Muar,Johor,84000,Muar,MOH-528184,True
FAC-AFA22CA1,Farmasi Cahaya Kulai,pharmacy,6.074511,100.344419,"No.169, Jalan Setia 16",Kulim,Kedah,09000,Kulim,MOH-402218,True
FAC-8AE744B9,Farmasi Bestari Langkawi,pharmacy,2.738189,101.908998,"No.166, Jalan Baru 13",Seremban,Negeri Sembilan,70000,Seremban,MOH-639593,True
FAC-A3307975,Farmasi Aman Nilai,pharmacy,3.151138,101.666881,"No.186, Jalan Indah 16",Kuala Lumpur,Kuala Lumpur,58000,Seputeh,MOH-755788,True
FAC-0218137B,Farmasi Harapan Port Dickson,pharmacy,2.227966,102.261624,"No.148, Jalan Jaya 16",Melaka,Melaka,75000,Melaka Tengah,MOH-227324,True
FAC-86A02109,Klinik Farmasi Komuniti Klang,pharmacy,3.109825,101.679367,"No.8, Jalan Murni 14",Kuala Lumpur,Kuala Lumpur,52100,Kepong,MOH-197736,True
